price,bedrooms,bathrooms,constructedarea,zipcode,yearbuilt,lotareasqft,avgschoolrating,avgschooldist,crimepercentage
386900,3,3,1865.0,77040,2022,7000.0,4.333333333333333,2.3333333333333335,1.196439841
250990,3,2,1412.0,77016,2022,7775.7013398033405,3.0,1.3666666666666665,1.621221683
285990,4,3,2260.0,77016,2022,7775.7013398033405,3.0,1.3666666666666665,1.621221683
265990,3,2,1826.0,77016,2022,7775.7013398033405,3.0,1.3666666666666665,1.621221683
240990,3,2,1200.0,77016,2022,7775.7013398033405,3.0,1.3666666666666665,1.621221683
575000,2,4,1164.0,77003,1930,5000.688,3.6666666666666665,1.6333333333333335,1.130285291
358219,4,3,2096.0,77053,2022,4600.0,3.3333333333333335,1.5,0.581463669
381111,4,3,2587.0,77053,2022,4600.0,3.3333333333333335,1.5999999999999999,0.581463669
335000,4,3,2084.0,77088,2022,7021.872,999.0,999.0,1.378364851
275990,4,2,2121.0,77016,2022,7775.7013398033405,3.0,1.3666666666666665,1.621221683
255990,3,2,1605.0,77016,2022,7775.7013398033405,3.0,1.3666666666666665,1.621221683
245490,3,2,1401.0,77016,2022,7775.7013398033405,3.0,1.3666666666666665,1.621221683
889990,4,5,3611.0,77055,2022,4202.0,999.0,999.0,1.539834178
549990,3,4,2118.0,77004,2022,1675.0,999.0,999.0,2.457728549
502990,4,3,2442.0,77080,2022,7775.7013398033405,3.6666666666666665,0.6333333333333333,1.212108023
461990,3,2,1728.0,77080,2022,7775.7013398033405,3.6666666666666665,0.6333333333333333,1.212108023
521990,3,3,3005.0,77080,2022,7775.7013398033405,3.6666666666666665,0.6333333333333333,1.212108023
517990,3,3,2577.0,77080,2022,7775.7013398033405,3.6666666666666665,0.6333333333333333,1.212108023
471990,3,2,1942.0,77080,2022,7775.7013398033405,3.6666666666666665,0.6333333333333333,1.212108023
472990,3,2,1836.0,77080,2022,7775.7013398033405,3.6666666666666665,0.6333333333333333,1.212108023
399900,3,4,2553.0,77091,2022,6000.0,3.0,1.3333333333333333,1.228646661
439900,3,4,2007.0,77018,2022,2169.0,4.333333333333333,1.1,0.95010119
429900,3,4,2007.0,77018,2022,2086.0,4.333333333333333,1.1,0.95010119
429900,3,4,2007.0,77018,2022,2007.0,4.333333333333333,1.1,0.95010119
429900,3,4,2007.0,77018,2022,2012.0,4.333333333333333,1.0666666666666667,0.95010119
429900,3,4,2007.0,77018,2022,2017.0,4.333333333333333,1.0666666666666667,0.95010119
429900,3,4,2007.0,77018,2022,2106.0,4.333333333333333,1.0666666666666667,0.95010119
429900,3,4,2007.0,77018,2022,2112.0,4.333333333333333,1.0666666666666667,0.95010119
429900,3,4,2007.0,77018,2022,2032.0,4.333333333333333,1.0666666666666667,0.95010119
429900,3,4,2007.0,77018,2022,2037.0,4.333333333333333,1.0666666666666667,0.95010119
429900,3,4,2007.0,77018,2022,2042.0,4.333333333333333,1.0333333333333334,0.95010119
452990,4,3,2764.0,77089,2022,7775.7013398033405,6.0,1.7666666666666666,0.858703458
358990,3,2,1688.0,77089,2023,7775.7013398033405,6.0,1.7666666666666666,0.858703458
412990,4,3,2012.0,77089,2022,7775.7013398033405,6.0,1.7666666666666666,0.858703458
403990,4,3,2585.0,77089,2022,7775.7013398033405,6.0,1.7666666666666666,0.858703458
447990,4,3,2544.0,77089,2022,7775.7013398033405,6.0,1.7666666666666666,0.858703458
418990,5,4,2844.0,77089,2022,7775.7013398033405,6.0,1.7666666666666666,0.858703458
373990,4,3,2336.0,77089,2022,7775.7013398033405,6.0,1.7666666666666666,0.858703458
532990,3,3,3330.0,77080,2022,7775.7013398033405,3.6666666666666665,0.6333333333333333,1.212108023
515990,3,3,2732.0,77080,2022,7775.7013398033405,3.6666666666666665,0.6333333333333333,1.212108023
439900,3,4,2007.0,77018,2022,3058.0,4.333333333333333,1.0333333333333334,0.95010119
349900,3,3,1920.0,77091,2022,2887.0,2.6666666666666665,1.3333333333333333,1.228646661
307000,3,2,1511.0,77088,2022,7300.656,999.0,999.0,1.378364851
260000,3,2,1682.0,77365,2022,7775.7013398033405,7.333333333333333,2.7000000000000006,0.072682959
349995,3,3,2526.0,77068,2023,7775.7013398033405,3.0,1.5333333333333334,1.0270404547925376
363995,5,3,2844.0,77068,2023,7775.7013398033405,3.0,1.5333333333333334,1.0270404547925376
319995,3,2,1944.0,77068,2023,7775.7013398033405,3.0,1.5333333333333334,1.0270404547925376
354995,4,3,2596.0,77068,2023,7775.7013398033405,3.0,1.5333333333333334,1.0270404547925376
312995,3,2,1889.0,77068,2023,7775.7013398033405,3.0,1.5333333333333334,1.0270404547925376
305995,3,2,1631.0,77068,2023,7775.7013398033405,3.0,1.5333333333333334,1.0270404547925376
335995,3,3,2372.0,77068,2023,7775.7013398033405,3.0,1.5333333333333334,1.0270404547925376
354995,4,3,2646.0,77068,2023,7775.7013398033405,3.0,1.5333333333333334,1.0270404547925376
