zid,Lat,Lng,Price,Bedrooms,Bathrooms,constructedArea,zipCode,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days,lotAreaSQFT
27944741,29.750095,-95.48894,899987,4,5,4000,77057,1,0,1,0,2016,3,2,3780,5,0.1,7,1.3,2,1.4,0,0,1046,7289
27945539,29.681765,-95.42968,375000,3,2,1574,77025,0,0,1,0,1950,1,0,1575,5,0.4,6,1.4,6,2.5,0,0,0,8319.96
27945602,29.68343,-95.43101,539900,3,2,1999,77025,1,0,1,0,1951,1,2,2268,5,0.2,6,1.2,6,2.4,0,0,0,8319.96
27946159,29.825218,-95.498825,200000,3,1,1172,77080,0,0,1,0,1955,1,0,840,5,0.7,5,2.3,2,2.1,0,-75000,239,11939.796
27946204,29.665726,-95.36009,255500,3,1,844,77051,1,0,1,0,1950,1,1,1073,5,0.7,3,0.3,3,0.7,1,223500,2169,5000.688
27946619,29.73165,-95.52274,240000,2,1,1260,77063,0,0,1,0,1954,1,0,1008,4,0.8,3,2.6,2,1.4,1,130100,3843,5401.44
27946635,29.73269,-95.52308,342990,3,2,1604,77063,0,0,1,0,1948,1,0,1441,4,0.8,3,2.6,2,1.5,1,187990,406,5401.44
27946905,29.830492,-95.327934,265000,3,2,1720,77016,0,0,1,0,1952,1,0,1113,3,0.7,3,1.2,3,0.9,1,30000,270,8250.264
27946985,29.673044,-95.34077,299000,3,3,1937,77033,1,0,1,0,2022,2,2,1256,4,0.8,3,1.4,3,1.9,0,0,2613,6899.904
27947294,29.808004,-95.49467,350000,3,1,1372,77055,1,0,1,0,1950,1,1,1470,3,4,3,4,3,6,0,0,0,10798.524
27947314,29.806133,-95.49328,879000,4,4,3596,77055,1,0,1,0,2022,2,2,3692,3,4,3,4,3,6,0,-70000,33,7993.26
27947324,29.808004,-95.493454,595000,3,3,2440,77055,1,0,1,0,2014,1,2,2499,3,4,3,4,3,6,1,515100,3150,8016
27947437,29.804197,-95.497665,889000,4,4,3760,77055,1,0,1,0,2022,2,3,3734,3,4,3,4,3,6,0,-100000,69,7200.468
27947593,29.808512,-95.496445,360000,3,2,1574,77055,0,0,1,0,1952,1,2,1512,3,4,3,4,3,6,0,-39900,87,6599.34
27947606,29.802341,-95.49977,435000,3,2,2125,77055,0,0,1,0,1952,1,0,1827,3,4,3,4,3,6,0,0,0,8786.052
27948921,29.79887,-95.48043,889000,4,5,3472,77055,1,0,1,0,2023,2,0,3734,3,4,3,4,3,6,1,470000,2779,3937
27948960,29.73763,-95.32483,350000,3,1,1191,77023,1,0,1,0,1950,1,1,1470,4,0.6,4,0.2,2,0.6,0,-9000,23,5179.284
27949468,29.808441,-95.37221,325000,3,1,1072,77009,1,0,1,0,1954,1,1,1365,6,0.2,5,1.9,2,1.8,1,220000,3347,5871.888
