Lat,Lng,Price,Bedrooms,Bathrooms,constructedArea,zipCode,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days,lotAreaSQFT
29.751257,-95.39099,700000,3,2,1742,77006,1,0,1,0,1915,2,2,2940,3,4.0,3,4.0,3,6.0,1,101000,2228,3898.62
29.750996,-95.39074,461700,2,1,2160,77006,0,0,1,0,1915,1,0,1995,3,4.0,3,4.0,3,6.0,0,0,0,3898.62
29.776463,-95.33335,524999,3,3,2555,77020,1,0,1,0,2022,2,2,2205,7,0.8,3,1.3,2,0.9,1,452999,2030,4399.56
29.779749,-95.33341,379000,3,4,1942,77020,1,0,1,0,2022,2,1,1592,7,0.7,3,1.2,2,1.0,1,307000,1091,7289.0
29.776726,-95.332466,299900,6,4,2850,77020,1,0,1,0,1930,1,2,1260,7,0.7,3,1.3,2,0.9,0,-150100,8729,11000.0
29.904848,-95.42962,225000,3,2,1566,77038,1,0,1,0,1979,2,2,945,3,4.0,3,4.0,3,6.0,0,0,85,3750.516
29.709902,-95.38064,475000,4,1,1363,77021,0,0,1,0,1940,1,0,1995,5,2.0,3,1.6,5,3.5,0,-348100,540,7048.008
29.775297,-95.41482,399950,1,2,784,77007,0,0,1,0,1933,1,0,1680,8,0.7,6,2.0,5,2.3,0,-50045,87,5349.168
29.781116,-95.41577,419000,3,2,1032,77007,1,0,1,0,1940,1,2,1760,4,0.9,6,1.9,3,2.5,1,20000,844,5350.0
29.780014,-95.4217,639000,3,4,2266,77007,1,0,1,0,2022,2,2,2684,8,0.7,6,2.3,3,2.5,1,49100,154,2687.0
29.806303,-95.377495,399000,2,1,1498,77009,0,0,1,0,1950,1,2,1676,6,0.5,5,1.3,5,1.2,0,-18250,34,5000.688
29.779554,-95.30498,240000,3,2,1044,77020,0,0,1,0,1950,1,0,1008,6,0.1,3,0.6,2,1.1,1,144000,4449,4626.072
29.731222,-95.32084,295000,2,1,1022,77023,1,0,1,0,1940,1,4,1239,6,0.6,4,0.4,2,0.7,1,185100,8360,5401.44
29.804943,-95.38894,599000,3,2,1435,77008,0,0,1,0,1930,1,1,2516,8,0.2,5,0.6,5,0.7,1,179000,601,4782.888
29.740139,-95.32976,364900,3,2,1550,77023,1,0,1,0,1948,1,1,1533,4,0.3,4,0.4,2,0.6,0,0,0,5349.168
29.740278,-95.332985,435000,1,1,932,77023,1,0,1,0,1950,2,2,1827,4,0.1,4,0.6,2,0.6,1,95000,639,8250.264
29.75366,-95.32899,409000,3,2,1405,77003,0,0,1,0,1930,1,0,1718,5,0.8,4,1.2,2,1.4,1,199000,366,4277.592
29.748281,-95.32205,239000,3,1,1072,77011,0,0,1,0,1926,1,0,1004,5,0.3,4,0.8,2,1.2,0,0,177,5000.688
29.781029,-95.31723,420000,3,3,2122,77020,1,0,1,0,2022,2,2,1764,7,0.3,3,0.7,2,0.7,1,335000,2045,2482.92
29.779709,-95.31687,368000,3,3,2081,77020,1,0,1,0,2021,2,2,1546,7,0.3,3,0.6,2,0.6,1,318100,2732,2500.344
29.779703,-95.31639,369000,3,3,1745,77020,1,0,1,0,2022,2,2,1550,7,0.3,3,0.6,2,0.6,1,336100,1991,2500.344
29.758904,-95.34005,450000,3,2,1256,77003,1,0,1,0,1950,1,3,1890,5,1.6,4,1.8,2,1.5,0,-145000,65,5000.688
29.746998,-95.387596,675000,3,3,2514,77006,1,0,1,0,2022,2,2,2835,3,4.0,3,4.0,3,6.0,1,126000,360,2547.0
29.739779,-95.25646,249000,3,3,1650,77029,1,0,1,0,2022,2,1,1046,8,2.1,5,1.3,4,1.2,1,232000,1818,5000.688
29.723934,-95.3012,440000,3,2,3421,77023,1,0,1,0,1954,1,3,1848,5,0.4,3,1.1,2,2.0,0,-60000,122,6917.328
29.74335,-95.31475,245000,2,1,1168,77011,0,0,1,0,1940,1,0,1029,7,0.3,3,0.9,2,1.3,0,0,0,5000.688
29.744177,-95.31744,499999,5,3,3128,77011,0,0,1,0,1960,2,0,2100,5,0.1,4,0.7,2,1.2,0,-125001,247,6499.152
29.78095,-95.32086,385000,3,3,1595,77020,1,0,1,0,2022,2,2,1617,7,0.1,3,0.8,2,0.6,0,0,5452,2400.0
29.78721,-95.36744,395000,2,1,1048,77009,1,0,1,0,1940,1,0,1659,8,0.5,5,0.7,2,0.6,1,95100,2385,7000.092
29.779303,-95.3471,325000,3,2,1178,77026,1,0,1,0,1930,1,2,1365,5,0.3,3,1.9,2,0.7,0,-14000,63,5000.688
29.781734,-95.34613,500000,3,2,1174,77026,0,0,1,0,1940,1,0,2100,5,0.4,3,1.7,2,0.8,1,415100,3573,7501.032
29.876331,-95.442924,245000,3,1,1220,77088,0,0,1,0,1948,1,0,1029,3,4.0,3,4.0,3,6.0,1,174000,3680,15751.296
29.86809,-95.44049,600000,8,4,6204,77088,0,0,1,0,1977,3,4,2520,2,0.6,4,0.2,4,0.3,1,599999,4601,52703.244
29.867708,-95.44084,375000,4,3,1908,77088,1,0,1,0,2022,2,2,1575,2,0.7,4,0.2,4,0.3,1,356500,2583,4550.0
29.866842,-95.446884,250000,3,2,1315,77088,0,0,1,0,2017,1,0,1050,2,1.0,2,1.3,4,0.3,0,0,0,9517.86
29.866447,-95.45071,239980,3,2,1620,77088,0,0,1,0,2017,1,0,1008,2,1.3,2,1.2,4,0.5,0,0,0,10201.752
29.732325,-95.34969,260000,2,1,756,77004,0,0,1,0,1950,1,0,1092,4,0.8,3,2.7,2,0.7,1,130000,2259,4142.556
29.734015,-95.34747,455000,3,4,1984,77004,1,0,1,0,2023,2,2,1911,4,0.9,3,2.9,2,0.8,1,380000,6425,2250.0
29.749111,-95.397194,690000,6,6,4971,77006,0,0,1,0,1908,3,2,2898,3,4.0,3,4.0,3,6.0,0,-350000,1133,7000.092
29.744585,-95.40317,825000,3,2,1807,77019,1,1,1,0,1930,1,2,3465,4,0.3,9,0.2,5,1.5,1,286500,3747,5000.688
29.780363,-95.29191,800000,2,2,952,77020,1,0,1,0,1940,1,1,3360,5,0.6,3,1.3,2,1.8,0,0,0,6499.152
29.778233,-95.29581,235000,3,2,1200,77020,0,0,1,0,1948,1,0,987,5,0.3,3,1.1,2,1.6,0,0,30,5000.688
29.743114,-95.366615,669900,3,3,2514,77004,1,0,1,0,2022,2,2,2814,3,4.0,3,4.0,3,6.0,1,272900,3545,3125.0
29.73487,-95.35929,265000,2,1,820,77004,0,0,1,0,1930,1,0,1113,4,0.4,3,2.7,2,0.8,1,185000,3024,3990.096
29.734657,-95.35905,394999,3,4,1573,77004,1,0,1,0,2022,2,2,1659,4,0.4,3,2.7,2,0.8,1,339200,5171,2984.0
29.735535,-95.3625,414900,3,4,1730,77004,1,0,1,0,2022,3,2,1743,4,0.4,3,2.8,2,0.9,0,-15000,61,2250.0
29.730453,-95.36196,308990,4,3,1462,77004,0,0,1,0,1936,1,0,1298,4,0.1,3,2.5,2,0.7,0,-20810,433,3998.808
29.734463,-95.368484,484900,3,4,2104,77004,1,0,1,0,2022,3,2,2037,4,0.5,3,2.7,2,1.1,0,-19800,186,1398.276
29.728745,-95.36061,419900,3,4,1737,77004,1,0,1,0,2022,3,2,1764,4,0.1,3,2.4,2,0.5,1,209900,2723,1995.0
29.730043,-95.36285,499999,3,4,2492,77004,0,0,1,0,1938,1,0,2100,4,0.1,3,2.4,2,0.7,1,274999,479,5039.892
29.729382,-95.364746,288000,2,1,660,77004,0,0,1,0,1930,1,0,1210,4,0.2,3,2.4,2,0.8,1,168000,1919,2500.344
29.73309,-95.36799,210000,3,1,1360,77004,0,0,1,0,1949,1,0,882,4,0.5,3,2.6,2,1.1,0,-140000,1859,6250.86
