Lat,Lng,Price,Bedrooms,Bathrooms,constructedArea,zipCode,CountyId,taxRate,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days,lotAreaSQFT,avgSchoolRating,avgSchoolDist
29.768892,-95.40738,618000,3.0,4,2630.0,77007,1090,2.29,1,0,1,0,2007.0,3.0,2,8.0,1.1,6,1.9,5,1.9,1,73000,2416,1900.0,6.333333333333333,1.6333333333333335
29.773947,-95.40698,419900,3.0,2,1317.0,77007,1090,2.29,1,0,1,0,1925.0,1.0,2,8.0,1.2,6,1.6,5,1.6,0,-175100,125,5100.876,6.333333333333333,1.4666666666666668
29.769796,-95.3289,449999,3.0,4,1858.0,77020,1090,2.29,1,0,1,0,2023.0,3.0,2,2.0,0.9,3,1.1,2,0.6,1,349999,2914,1450.548,2.3333333333333335,0.8666666666666667
29.725327,-95.35512,475000,3.0,2,1534.0,77004,1090,2.29,1,0,1,0,2022.0,1.0,2,4.0,0.5,3,2.2,2,0.2,1,425100,3094,3798.432,3.0,0.9666666666666668
29.778898,-95.35079,220000,4.0,1,1064.0,77026,1090,2.29,0,0,1,0,1925.0,1.0,0,5.0,0.1,5,0.4,2,0.5,1,30500,216,4700.124,4.0,0.3333333333333333
29.77664,-95.35493,350000,3.0,2,2048.0,77009,1090,2.29,0,0,1,0,1915.0,1.0,0,5.0,0.2,5,0.4,2,0.5,0,-25000,2292,6512.22,4.0,0.3666666666666667
29.77779,-95.35241,245000,3.0,1,1382.0,77009,1090,2.29,0,0,1,0,1925.0,1.0,0,5.0,0.1,5,0.4,2,0.5,0,-34900,154,4647.852,4.0,0.3333333333333333
29.777794,-95.35194,275000,4.0,3,1960.0,77009,1090,2.29,0,0,1,0,1910.0,1.0,3,5.0,0.1,5,0.4,2,0.5,0,-25000,203,4647.852,4.0,0.3333333333333333
29.751257,-95.39099,700000,3.0,2,1742.0,77006,1090,2.29,1,0,1,0,1915.0,2.0,2,999.0,999.0,999,999.0,999,999.0,1,101000,2228,3898.62,999.0,999.0
29.750996,-95.39074,461700,2.0,1,2158.627875809694,77006,1090,2.29,0,0,1,0,1915.0,1.0,0,999.0,999.0,999,999.0,999,999.0,0,0,0,3898.62,999.0,999.0
29.776463,-95.33335,524999,3.0,3,2555.0,77020,1090,2.29,1,0,1,0,2022.0,2.0,2,7.0,0.8,3,1.3,2,0.9,1,452999,2030,4399.56,4.0,1.0
29.779749,-95.33341,379000,3.0,4,1942.0,77020,1090,2.29,1,0,1,0,2022.0,2.0,1,7.0,0.7,3,1.2,2,1.0,1,307000,1091,7775.7013398033405,4.0,0.9666666666666667
29.776726,-95.332466,299900,6.0,4,2850.0,77020,1090,2.29,1,0,1,0,1930.0,1.0,2,7.0,0.7,3,1.3,2,0.9,0,-150100,8729,11000.00002068,4.0,0.9666666666666667
29.904848,-95.42962,225000,3.0,2,1566.0,77038,1090,2.29,1,0,1,0,1979.0,2.0,2,999.0,999.0,999,999.0,999,999.0,0,0,85,3750.516,999.0,999.0
29.709902,-95.38064,475000,0.0,1,1363.0,77021,1090,2.29,0,0,1,0,1940.0,1.0,0,5.0,2.0,3,1.6,5,3.5,0,-348100,540,7048.008,4.333333333333333,2.3666666666666667
29.775297,-95.41482,399950,1.0,2,784.0,77007,1090,2.29,0,0,1,0,1933.0,1.0,0,8.0,0.7,6,2.0,5,2.3,0,-50045,87,5349.168,6.333333333333333,1.6666666666666667
29.781116,-95.41577,419000,3.0,2,1032.0,77007,1090,2.29,1,0,1,0,1940.0,1.0,2,4.0,0.9,6,1.9,3,2.5,1,20000,844,5350.0,4.333333333333333,1.7666666666666666
29.780014,-95.4217,639000,3.0,4,2266.0,77007,1090,2.29,1,0,1,0,2022.0,2.0,2,8.0,0.7,6,2.3,3,2.5,1,49100,154,2687.0,5.666666666666667,1.8333333333333333
29.806303,-95.377495,399000,2.0,1,1498.0,77009,1090,2.29,0,0,1,0,1950.0,1.0,2,6.0,0.5,5,1.3,5,1.2,0,-18250,34,5000.688,5.333333333333333,1.0
29.779554,-95.30498,240000,3.0,2,1044.0,77020,1090,2.29,0,0,1,0,1950.0,1.0,0,6.0,0.1,3,0.6,2,1.1,1,144000,4449,4626.072,3.6666666666666665,0.6
29.731222,-95.32084,295000,2.0,1,1022.0,77023,1090,2.29,1,0,1,0,1940.0,1.0,12,6.0,0.6,4,0.4,2,0.7,1,185100,8360,5401.44,4.0,0.5666666666666667
29.804943,-95.38894,599000,3.0,2,1435.0,77008,1090,2.29,0,0,1,0,1930.0,1.0,1,8.0,0.2,5,0.6,5,0.7,1,179000,601,4782.888,6.0,0.5
29.740139,-95.32976,364900,3.0,2,1550.0,77023,1090,2.29,1,0,1,0,1948.0,1.0,1,4.0,0.3,4,0.4,2,0.6,0,0,0,5349.168,3.3333333333333335,0.4333333333333333
29.740278,-95.332985,435000,1.0,1,932.0,77023,1090,2.29,1,0,1,0,1950.0,2.0,2,4.0,0.1,4,0.6,2,0.6,1,95000,639,8250.264,3.3333333333333335,0.4333333333333333
29.75366,-95.32899,409000,3.0,2,1405.0,77003,1090,2.29,0,0,1,0,1930.0,1.0,0,5.0,0.8,4,1.2,2,1.4,1,199000,366,4277.592,3.6666666666666665,1.1333333333333333
29.748281,-95.32205,239000,3.0,1,1072.0,77011,1090,2.29,0,0,1,0,1926.0,1.0,0,5.0,0.3,4,0.8,2,1.2,0,0,177,5000.688,3.6666666666666665,0.7666666666666666
29.781029,-95.31723,420000,3.0,3,2122.0,77020,1090,2.29,1,0,1,0,2022.0,2.0,2,7.0,0.3,3,0.7,2,0.7,1,335000,2045,2482.92,4.0,0.5666666666666667
29.779709,-95.31687,368000,3.0,3,2081.0,77020,1090,2.29,1,0,1,0,2021.0,2.0,2,7.0,0.3,3,0.6,2,0.6,1,318100,2732,2500.344,4.0,0.5
29.779703,-95.31639,369000,3.0,3,1745.0,77020,1090,2.29,1,0,1,0,2022.0,2.0,2,7.0,0.3,3,0.6,2,0.6,1,336100,1991,2500.344,4.0,0.5
29.758904,-95.34005,450000,3.0,2,1256.0,77003,1090,2.29,1,0,1,0,1950.0,1.0,3,5.0,1.6,4,1.8,2,1.5,0,-145000,65,5000.688,3.6666666666666665,1.6333333333333335
29.746998,-95.387596,675000,3.0,3,2514.0,77006,1090,2.29,1,0,1,0,2022.0,2.0,2,999.0,999.0,999,999.0,999,999.0,1,126000,360,2547.0,999.0,999.0
29.739779,-95.25646,249000,3.0,3,1650.0,77029,1090,2.29,1,0,1,0,2022.0,2.0,1,8.0,2.1,5,1.3,4,1.2,1,232000,1818,5000.688,5.666666666666667,1.5333333333333334
29.723934,-95.3012,440000,3.0,2,3421.0,77023,1090,2.29,1,0,1,0,1954.0,1.0,3,5.0,0.4,3,1.1,2,2.0,0,-60000,122,6917.328,3.3333333333333335,1.1666666666666667
29.74335,-95.31475,245000,2.0,1,1168.0,77011,1090,2.29,0,0,1,0,1940.0,1.0,0,7.0,0.3,3,0.9,2,1.3,0,0,0,5000.688,4.0,0.8333333333333334
29.744177,-95.31744,499999,5.0,3,3128.0,77011,1090,2.29,0,0,1,0,1960.0,2.0,0,5.0,0.1,4,0.7,2,1.2,0,-125001,247,6499.152,3.6666666666666665,0.6666666666666666
29.78095,-95.32086,385000,3.0,3,1595.0,77020,1090,2.29,1,0,1,0,2022.0,2.0,2,7.0,0.1,3,0.8,2,0.6,0,0,5452,2400.0,4.0,0.5
29.78721,-95.36744,395000,2.0,1,1048.0,77009,1090,2.29,1,0,1,0,1940.0,1.0,0,8.0,0.5,5,0.7,2,0.6,1,95100,2385,7000.092,5.0,0.6
29.779303,-95.3471,325000,3.0,2,1178.0,77026,1090,2.29,1,0,1,0,1930.0,1.0,2,5.0,0.3,3,1.9,2,0.7,0,-14000,63,5000.688,3.3333333333333335,0.9666666666666665
29.781734,-95.34613,500000,3.0,2,1174.0,77026,1090,2.29,0,0,1,0,1940.0,1.0,0,5.0,0.4,3,1.7,2,0.8,1,415100,3573,7501.032,3.3333333333333335,0.9666666666666668
29.876331,-95.442924,245000,3.0,1,1220.0,77088,1090,2.29,0,0,1,0,1948.0,1.0,0,999.0,999.0,999,999.0,999,999.0,1,174000,3680,15751.295999999998,999.0,999.0
29.86809,-95.44049,600000,8.0,4,6204.0,77088,1090,2.29,0,0,1,0,1977.0,3.0,4,2.0,0.6,4,0.2,4,0.3,1,599999,4601,52703.244,3.3333333333333335,0.3666666666666667
29.867708,-95.44084,375000,4.0,3,1908.0,77088,1090,2.29,1,0,1,0,2022.0,2.0,2,2.0,0.7,4,0.2,4,0.3,1,356500,2583,4550.0,3.3333333333333335,0.39999999999999997
29.866842,-95.446884,250000,3.0,2,1315.0,77088,1090,2.29,0,0,1,0,2017.0,1.0,0,2.0,1.0,2,1.3,4,0.3,0,0,0,9517.86,2.6666666666666665,0.8666666666666666
29.866447,-95.45071,239980,3.0,2,1620.0,77088,1090,2.29,0,0,1,0,2017.0,1.0,0,2.0,1.3,2,1.2,4,0.5,0,0,0,10201.752,2.6666666666666665,1.0
29.732325,-95.34969,260000,2.0,1,756.0,77004,1090,2.29,0,0,1,0,1950.0,1.0,0,4.0,0.8,3,2.7,2,0.7,1,130000,2259,4142.556,3.0,1.4000000000000001
29.734015,-95.34747,455000,3.0,4,1984.0,77004,1090,2.29,1,0,1,0,2023.0,2.0,2,4.0,0.9,3,2.9,2,0.8,1,380000,6425,2250.0,3.0,1.5333333333333332
29.749111,-95.397194,690000,6.0,6,4971.0,77006,1090,2.29,0,0,1,0,1908.0,3.0,2,999.0,999.0,999,999.0,999,999.0,0,-350000,1133,7000.092,999.0,999.0
29.744585,-95.40317,825000,3.0,2,1807.0,77019,1090,2.29,1,1,1,0,1930.0,1.0,2,4.0,0.3,9,0.2,5,1.5,1,286500,3747,5000.688,6.0,0.6666666666666666
